set,subset,vocab type,kun,on,meaning,kan
Nakama One,Six,Kanji Words,,,What,何
Nakama One,Six,Kanji Words,,,Week,週
Nakama One,Six,Kanji Words,,,Weekend,週末
Nakama One,Six,Kanji Words,,,To rest,休
Nakama One,Six,Kanji Words,,,A day off,休み
Nakama One,Six,Kanji Words,,,Holiday,休みの日
Nakama One,Six,Kanji Words,,,Today,今日
Nakama One,Seven,Kanji,とき,ジ,"time, hour",時
Nakama One,Seven,Kanji,あいだ,カン,"interval, duration",間
Nakama One,Seven,Kanji,わ（ける）・わ（かる）,フン・ブン・プン,"to divide, to understand, minute",分
Nakama One,Seven,Kanji,,ハン,half,半
Nakama One,Seven,Kanji,,マイ,every,毎
Nakama One,Seven,Kanji,とし,ネン,year,年
Nakama One,Seven,Kanji,す（き）,コウ,to like,好
Nakama One,Seven,Kanji,かた（る）,ゴ,"language, word",語
Nakama One,Seven,Kanji,たか（い）,コウ,"high, expensive",高
Nakama One,Seven,Kanji,,バン,"number, order, turn",番
Nakama One,Seven,Kanji,かた,ホウ,"direction, person (polite)",方
Nakama One,Seven,Kanji,あたら（しい）,シン,new,新
Nakama One,Seven,Kanji,ふる（い）,コ,old,古
Nakama One,Seven,Kanji,やす（い）,アン,"inexpensive, cheap",安
Nakama One,Seven,Kanji,とも,ユウ,friend,友
Nakama One,Seven,Kanji Words,,,8:30,８時半
Nakama One,Seven,Kanji Words,,,3 hours,3時間
Nakama One,Seven,Kanji Words,,,30 minutes,30分
Nakama One,Seven,Kanji Words,,,To understand,分かる
Nakama One,Seven,Kanji Words,,,Everyday,毎日
Nakama One,Seven,Kanji Words,,,Every week,毎週
Nakama One,Seven,Kanji Words,,,Every year,毎年
Nakama One,Seven,Kanji Words,,,Every month,毎月
Nakama One,Seven,Kanji Words,,,Like,好き
Nakama One,Seven,Kanji Words,,,Really Like,大好き
Nakama One,Seven,Kanji Words,,,Japanese,日本語
Nakama One,Seven,Kanji Words,,,"Tall, expensive",高い
Nakama One,Seven,Kanji Words,,,High school,高校
Nakama One,Seven,Kanji Words,,,"Number one, first",一番
Nakama One,Seven,Kanji Words,,,New,新しい
Nakama One,Seven,Kanji Words,,,Old,古い
Nakama One,Seven,Kanji Words,,,"Inexpensive, cheap",安い
Nakama One,Seven,Kanji Words,,,Friend,友だち
Nakama One,Eight,Kanji,ひと（つ）,イチ,one,一
Nakama One,Eight,Kanji,ふた（つ）,ニ,two,二
Nakama One,Eight,Kanji,みっ（つ）,サン,three,三
Nakama One,Eight,Kanji,よ、よん・よっ（つ）,シ,four,四
Nakama One,Eight,Kanji,いつ（つ）,ゴ,five,五
Nakama One,Eight,Kanji,むっ（つ）,ロク・ロッ,six,六
Nakama One,Eight,Kanji,なな（つ）,シチ,seven,七
Nakama One,Eight,Kanji,やっ（つ）,ハチ・ハッ,eight,八
Nakama One,Eight,Kanji,ここの（つ）,キュウ・ク,nine,九
Nakama One,Eight,Kanji,とお,ジュウ・ジュッ,ten,十
Nakama One,Eight,Kanji,,ヒャク・ビャク・ピャク,one hundred,百
Nakama One,Eight,Kanji,,セン・ゼン,one thousand,千
Nakama One,Eight,Kanji,,マン,ten thousand,万
Nakama One,Eight,Kanji,,エン,yen (Japanese currency),円
Nakama One,Eight,Kanji,みせ,テン,"store, shop",店
Nakama One,Eight,Kanji Words,,,one o'clock,一時
Nakama One,Eight,Kanji Words,,,"One thing (long, cylindrical)",一本
Nakama One,Eight,Kanji Words,,,One thing (general),一つ
Nakama One,Eight,Kanji Words,,,One,一
Nakama One,Eight,Kanji Words,,,Two,二
Nakama One,Eight,Kanji Words,,,Three,三
Nakama One,Eight,Kanji Words,,,Four,四
Nakama One,Eight,Kanji Words,,,Five,五
Nakama One,Eight,Kanji Words,,,Six,六
Nakama One,Eight,Kanji Words,,,Seven,七
Nakama One,Eight,Kanji Words,,,Eight,八
Nakama One,Eight,Kanji Words,,,Nine,九
Nakama One,Eight,Kanji Words,,,Ten,十
Nakama One,Eight,Kanji Words,,,One hundred,百
Nakama One,Eight,Kanji Words,,,One thousand,千
Nakama One,Eight,Kanji Words,,,Ten thousand,一万
Nakama One,Eight,Kanji Words,,,Ten thousand yen,一万円
Nakama One,Eight,Kanji Words,,,Shop clerk,店の人
Nakama One,Eight,Kanji Words,,,Shop,店
Nakama One,Nine,Kanji,い（く）,コウ,to go,行
Nakama One,Nine,Kanji,く（る）,ライ,"to come, coming",来
Nakama One,Nine,Kanji,かえ（る）,キ,"to return, to go home",帰
Nakama One,Nine,Kanji,た（べる）,ショク,to eat,食
Nakama One,Nine,Kanji,の（む）,イン,to drink,飲
Nakama One,Nine,Kanji,み（る）,ケン,"to look at, to watch",見
Nakama One,Nine,Kanji,き（く）,ブン,"to listen, to ask, to inquire",聞
Nakama One,Nine,Kanji,よ（む）,ドク,to read,読
Nakama One,Nine,Kanji,か（く）,ショ,"to write, writing",書
Nakama One,Nine,Kanji,はな（す）,ワ,"to talk, to speak",話
Nakama One,Nine,Kanji,で（る）・で（かける）・だ（す）,シュツ,"to come out, to leave, to mail, to turn in",出
Nakama One,Nine,Kanji,あ（う）,カイ,"to meet, to see",会
Nakama One,Nine,Kanji,か（う）,バイ,to buy,買
Nakama One,Nine,Kanji,お（きる）,キ,to get up,起
Nakama One,Nine,Kanji,ね（る）,シン,"to go to bed, to lie down",寝
Nakama One,Nine,Kanji,つく（る）,サク,to make,作
Nakama One,Nine,Kanji,はい（る）・い（れる）,ニュウ,to enter,入
Nakama One,Nine,Kanji Words,,,To go,行く
Nakama One,Nine,Kanji Words,,,To come,来る
Nakama One,Nine,Kanji Words,,,Next week,来週
Nakama One,Nine,Kanji Words,,,Next year,来年
Nakama One,Nine,Kanji Words,,,To return,帰る
Nakama One,Nine,Kanji Words,,,To eat,食べる
Nakama One,Nine,Kanji Words,,,To drink,飲む
Nakama One,Nine,Kanji Words,,,To see,見る
Nakama One,Nine,Kanji Words,,,To listen,聞く
Nakama One,Nine,Kanji Words,,,Newspaper,新聞
Nakama One,Nine,Kanji Words,,,To read,読む
Nakama One,Nine,Kanji Words,,,To write,書く
Nakama One,Nine,Kanji Words,,,To speak,話す
Nakama One,Nine,Kanji Words,,,To come out,出る
Nakama One,Nine,Kanji Words,,,To go out,出かける
Nakama One,Nine,Kanji Words,,,To meet,会う
Nakama One,Nine,Kanji Words,,,Conversation,会話
Nakama One,Nine,Kanji Words,,,To shop,買う
Nakama One,Nine,Kanji Words,,,To get up,起きる
Nakama One,Nine,Kanji Words,,,To go to sleep,寝る
Nakama One,Nine,Kanji Words,,,To make,作る
Nakama One,Nine,Kanji Words,,,To enter,入る
