set,subset,vocab type,kun,on,meaning,kan
Genki Two,Fifteen,Kanji,あじ,ミ,flaavor; taste,味
Genki Two,Fifteen,Kanji,そそ,チュウ,to pour; to shed,注
Genki Two,Fifteen,Kanji,なつ,カ,summer,夏
Genki Two,Fifteen,Kanji,さかな・うお,ギョ,fish,魚
Genki Two,Fifteen,Kanji,てら・でら,ジ,temple,寺
Genki Two,Fifteen,Kanji,ひろ,コウ,spacious; wide,広
Genki Two,Fifteen,Kanji,あし・た,ソク,foot; leg,足
Genki Two,Fifteen,Kanji,ころ,テン,to roll over,転
Genki Two,Fifteen,Kanji,か,シャク・シャッ,to borrow,借
Genki Two,Fifteen,Kanji,はし,ソウ,to run,走
Genki Two,Fifteen,Kanji,ば,ジョウ,place,場
Genki Two,Fifteen,Kanji,たて・た,ケン,to build,建
Genki Two,Fifteen,Kanji,,チ・ジ,ground,地
Genki Two,Fifteen,Kanji,とお・かよ,ツウ,to pass; to commute,通
Genki Two,Sixteen,Kanji,ども・そな,キョウ,companion; offer,供
Genki Two,Sixteen,Kanji,よ,セ・セイ,world; generation,世
Genki Two,Sixteen,Kanji,,カイ,world,界
Genki Two,Sixteen,Kanji,まった・すべ,ゼン,all,全
Genki Two,Sixteen,Kanji,,ブ・ヘ,part; section,部
Genki Two,Sixteen,Kanji,はじ,シ,to begin,始
Genki Two,Sixteen,Kanji,,シュウ,week,週
Genki Two,Sixteen,Kanji,かんが,コウ,to think; idea,考
Genki Two,Sixteen,Kanji,あ・ひら,カイ,to open,開
Genki Two,Sixteen,Kanji,や,オク,shop; house,屋
Genki Two,Sixteen,Kanji,かた・がた,ホウ,direction; person,方
Genki Two,Sixteen,Kanji,はこ,ウン,transport; luck,運
Genki Two,Sixteen,Kanji,うご,ドウ,to move,動
Genki Two,Sixteen,Kanji,おし,キョウ,to teach,教
Genki Two,Sixteen,Kanji,,シツ,room,室
Genki Two,Sixteen,Kanji,,イ,by means of; compared with,以
Genki Two,Seventeen,Kanji,の,ヤ,field,野
Genki Two,Seventeen,Kanji,なら,シュウ,to learn,習
Genki Two,Seventeen,Kanji,おも・ぬし,シュ,main; lord,主
Genki Two,Seventeen,Kanji,,サイ・セイ,year; age,歳
Genki Two,Seventeen,Kanji,あつ,シュウ,to gather,集
Genki Two,Seventeen,Kanji,,ハッ・ハツ・パツ,to start; to reveal,発
Genki Two,Seventeen,Kanji,あらわ・おもて,ピョウ・ヒョウ,to express; surface,表
Genki Two,Seventeen,Kanji,じな・しな,ヒン,goods; refinement,品
Genki Two,Seventeen,Kanji,うつ,シャ,to copy,写
Genki Two,Seventeen,Kanji,ま,シン,true; reality,真
Genki Two,Seventeen,Kanji,,ジ,letter; character,字
Genki Two,Seventeen,Kanji,,カツ・カッ,lively,活
Genki Two,Seventeen,Kanji,むす,ケッ・ケツ,to tie; to join,結
Genki Two,Seventeen,Kanji,,コン,marriage,婚
Genki Two,Seventeen,Kanji,ある,ホ・ポ,to walk,歩
